03/05/2019,Terça,3ª-feira da 8ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Eclo 35,1-15 (Gr. 1-12)  / Salmo - Sl 49, 5-6. 7-8. 14.23 (R. 23b)  / Evangelho - Mc 10,28-31"
03/06/2019,Quarta,Quarta-feira de Cinzas,,Roxo,,,,,,,,C,,,"1ª Leitura - Jl 2,12-18  / Salmo - Sl 50 (51), 3-4. 5-6a. 12-13. 14.17 (R.Cf.3a)  / 1ª Leitura - 2Cor 5,20-6,2  / Evangelho - Mt 6,1-6.16-18"
03/07/2019,Quinta,Quinta-feira depois das Cinzas,,Roxo,,,,,,,,C,,,"1ª Leitura - Dt 30,15-20  / Salmo - Sl 1, 1-2. 3. 4.6 (R. Sl 39,5a)  / Evangelho - Lc 9,22-25"
03/08/2019,Sexta,Sexta-feira depois das Cinzas,,Roxo,,,,,,,,C,,,"1ª Leitura - Is 58,1-9a  / Salmo - Sl 50, 3-4. 5-6a. 18-19 (R. 19b)  / Evangelho - Mt 9,14-15"
03/09/2019,Sábado,Sábado depois das Cinzas,,Roxo,,,,,,,,C,,,"1ª Leitura - Is 58,9b-14  / Salmo - Sl 85, 1-2. 3-4. 5-6 (R. 11a)  / Evangelho - Lc 5,27-32"
03/10/2019,Domingo,1º Domingo da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Dt 26,4-10  / Salmo - Sl 90,1-2.10-11.12-13.14-15 (R. cf.15b)  / 2ª Leitura - Rm 10,8-13  / Evangelho - Lc 4,1-13"
03/11/2019,Segunda,2ª-feira da 1ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Lv 19,1-2.11-18  / Salmo - Sl 18, 8. 9. 10. 15 (R. Jo 6,63c)  / Evangelho - Mt 25,31-46"
03/12/2019,Terça,3ª-feira da 1ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Is 55,10-11  / Salmo - Sl 33, 4-5. 6-7. 16-17. 18-19 (R. 18b)  / Evangelho - Mt 6,7-15"
03/13/2019,Quarta,4ª-feira da 1ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Jn 3,1-10  / Salmo - Sl 50, 3-4, 12-13. 18-19 (R. 19b)  / Evangelho - Lc 11,29-32"
03/14/2019,Quinta,5ª-feira da 1ª Semana da Quaresma,,Roxo,,,,,,,,C,,,"1ª Leitura - Est 4,17n.p-r.aa-bb.gg-hh  / Salmo - Sl 137, 1-2a. 2bc-3. 7c-8 (R. 3a)  / Evangelho - Mt 7,7-12"
